depth,Stmax,Stavg,EndP,MaxP,MaxV,RanV,RtUp,RtDn,TINDVI,Easting_32632,Northing_32632,elev,asp,slo,tri,Al05Fe
0.050000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.102726
0.150000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.198409
0.290000,62.800000,21.100000,20.000000,14.000000,0.774526,0.411832,0.063689,0.068639,3.001775,713869.708062,5147784.997376,1883.000000,6.428749,89.311600,18.375000,0.344322
0.050000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.403019
0.150000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.371813
0.300000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.392923
0.515000,113.100000,55.500000,21.000000,15.000000,0.831666,0.273143,0.040283,0.045524,1.946481,742781.585928,5148718.702452,1425.000000,230.710587,88.829193,13.750000,0.222567
0.050000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.483088
0.150000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.669847
0.300000,120.300000,60.300000,20.000000,14.000000,0.887078,0.360766,0.051538,0.054286,2.787844,757685.743014,5150013.827488,1267.000000,53.426968,48.250648,7.750000,0.784660
0.050000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.441057
0.150000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.295934
0.300000,101.100000,47.200000,21.000000,14.000000,0.867662,0.359204,0.054821,0.051315,2.797303,804778.085299,5153559.931496,1337.000000,194.036255,67.000465,11.750000,0.269931
0.050000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.413987
0.150000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.409294
0.275000,133.700000,77.600000,21.000000,14.000000,0.902766,0.354847,0.056556,0.050692,2.830455,824804.479604,5140147.293211,937.000000,133.976974,49.505367,8.625000,0.444699
0.050000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.377672
0.150000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.539198
0.300000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.472218
0.575000,118.400000,68.400000,20.000000,14.000000,0.808846,0.202742,0.033790,0.030270,1.453179,602948.409748,5132817.984446,1600.000000,175.292145,53.304844,7.875000,0.302061
0.045000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.357544
0.150000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.337042
0.275000,117.600000,67.100000,20.000000,14.000000,0.850937,0.349643,0.054369,0.058274,2.555242,632936.511343,5132533.850041,1576.000000,225.000000,19.445436,3.375000,0.350248
0.050000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.313658
0.150000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.345394
0.300000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.283343
0.600000,92.500000,47.400000,21.000000,15.000000,0.831619,0.359530,0.051361,0.056194,2.836822,650924.614513,5132613.080124,1600.000000,63.886086,35.498680,4.750000,0.241576
0.050000,118.300000,67.000000,21.000000,15.000000,0.799498,0.062350,0.010392,0.009414,0.449277,665894.826833,5132847.776173,1390.000000,62.927917,31.585697,4.875000,0.296804
0.130000,118.300000,67.000000,21.000000,15.000000,0.799498,0.062350,0.010392,0.009414,0.449277,665894.826833,5132847.776173,1390.000000,62.927917,31.585697,4.875000,0.231988
0.050000,132.900000,75.500000,20.000000,14.000000,0.833010,0.251390,0.037194,0.041898,1.794164,669934.854465,5177779.069729,1275.000000,348.917419,61.777069,10.375000,0.536844
0.150000,132.900000,75.500000,20.000000,14.000000,0.833010,0.251390,0.037194,0.041898,1.794164,669934.854465,5177779.069729,1275.000000,348.917419,61.777069,10.375000,0.464875
0.265000,132.900000,75.500000,20.000000,14.000000,0.833010,0.251390,0.037194,0.041898,1.794164,669934.854465,5177779.069729,1275.000000,348.917419,61.777069,10.375000,0.429864
0.550000,119.700000,66.200000,22.000000,15.000000,0.772782,0.208705,0.032428,0.029815,1.641386,699005.502606,5132757.786227,1500.000000,63.281342,104.257042,17.125000,2.644926
0.050000,119.700000,66.200000,22.000000,15.000000,0.772782,0.208705,0.032428,0.029815,1.641386,699005.502606,5132757.786227,1500.000000,63.281342,104.257042,17.125000,1.791638
0.150000,119.700000,66.200000,22.000000,15.000000,0.772782,0.208705,0.032428,0.029815,1.641386,699005.502606,5132757.786227,1500.000000,63.281342,104.257042,17.125000,2.619307
0.300000,119.700000,66.200000,22.000000,15.000000,0.772782,0.208705,0.032428,0.029815,1.641386,699005.502606,5132757.786227,1500.000000,63.281342,104.257042,17.125000,2.431954
0.050000,76.700000,33.400000,21.000000,15.000000,0.788627,0.459160,0.065594,0.072338,3.638931,713907.119818,5132737.258021,1888.000000,12.528809,23.048861,3.875000,0.571770
0.150000,76.700000,33.400000,21.000000,15.000000,0.788627,0.459160,0.065594,0.072338,3.638931,713907.119818,5132737.258021,1888.000000,12.528809,23.048861,3.875000,0.971580
0.300000,76.700000,33.400000,21.000000,15.000000,0.788627,0.459160,0.065594,0.072338,3.638931,713907.119818,5132737.258021,1888.000000,12.528809,23.048861,3.875000,0.865255
0.575000,76.700000,33.400000,21.000000,15.000000,0.788627,0.459160,0.065594,0.072338,3.638931,713907.119818,5132737.258021,1888.000000,12.528809,23.048861,3.875000,0.560280
0.050000,93.900000,50.600000,20.000000,14.000000,0.851332,0.336300,0.056050,0.053988,2.496159,584918.951050,5117814.960700,1431.000000,156.412964,48.420361,7.500000,0.303743
0.150000,93.900000,50.600000,20.000000,14.000000,0.851332,0.336300,0.056050,0.053988,2.496159,584918.951050,5117814.960700,1431.000000,156.412964,48.420361,7.500000,0.278239
0.260000,93.900000,50.600000,20.000000,14.000000,0.851332,0.336300,0.056050,0.053988,2.496159,584918.951050,5117814.960700,1431.000000,156.412964,48.420361,7.500000,0.308030
0.050000,138.400000,85.600000,19.000000,13.000000,0.903880,0.301002,0.050167,0.046558,2.194147,602922.455874,5117844.187617,1199.000000,26.565052,36.336105,5.875000,0.715627
0.150000,138.400000,85.600000,19.000000,13.000000,0.903880,0.301002,0.050167,0.046558,2.194147,602922.455874,5117844.187617,1199.000000,26.565052,36.336105,5.875000,0.760101
0.300000,138.400000,85.600000,19.000000,13.000000,0.903880,0.301002,0.050167,0.046558,2.194147,602922.455874,5117844.187617,1199.000000,26.565052,36.336105,5.875000,0.963687
0.440000,138.400000,85.600000,19.000000,13.000000,0.903880,0.301002,0.050167,0.046558,2.194147,602922.455874,5117844.187617,1199.000000,26.565052,36.336105,5.875000,0.273485
0.050000,200.300000,138.400000,20.000000,13.000000,0.873920,0.341332,0.051259,0.048762,2.634791,665810.556760,5117803.883661,450.000000,259.045959,39.469135,6.500000,0.114768
0.150000,200.300000,138.400000,20.000000,13.000000,0.873920,0.341332,0.051259,0.048762,2.634791,665810.556760,5117803.883661,450.000000,259.045959,39.469135,6.500000,0.102137
0.300000,200.300000,138.400000,20.000000,13.000000,0.873920,0.341332,0.051259,0.048762,2.634791,665810.556760,5117803.883661,450.000000,259.045959,39.469135,6.500000,0.100766
0.600000,200.300000,138.400000,20.000000,13.000000,0.873920,0.341332,0.051259,0.048762,2.634791,665810.556760,5117803.883661,450.000000,259.045959,39.469135,6.500000,0.068365
0.050000,117.100000,66.900000,21.000000,15.000000,0.837204,0.154670,0.022096,0.024151,1.219735,680912.270397,5117799.015640,1385.000000,137.642548,57.513584,8.500000,0.314440
0.150000,117.100000,66.900000,21.000000,15.000000,0.837204,0.154670,0.022096,0.024151,1.219735,680912.270397,5117799.015640,1385.000000,137.642548,57.513584,8.500000,0.367796
0.300000,117.100000,66.900000,21.000000,15.000000,0.837204,0.154670,0.022096,0.024151,1.219735,680912.270397,5117799.015640,1385.000000,137.642548,57.513584,8.500000,0.451818
0.500000,117.100000,66.900000,21.000000,15.000000,0.837204,0.154670,0.022096,0.024151,1.219735,680912.270397,5117799.015640,1385.000000,137.642548,57.513584,8.500000,0.343356
