Easting,Northing,week
416066.094313,4511671.896460,151
416549.486218,4513152.888808,38
416473.524721,4511614.865108,36
416970.489883,4513058.722538,95
416856.818931,4511496.448749,24
416405.416305,4511606.381498,8
416749.866219,4510535.467219,59
416065.116173,4511585.557534,130
416957.981555,4512152.189173,66
415899.637719,4511263.621470,171
416149.221301,4511556.849838,27
417126.291754,4512523.458651,34
416555.357385,4511176.026017,29
416712.307633,4511784.876563,34
417181.874413,4512461.158523,146
416672.826745,4512861.610560,33
416917.047937,4512057.046595,54
417384.059348,4511666.334025,70
416822.993717,4513078.881305,15
418057.444323,4512753.643584,13
416995.389964,4511932.811532,154
416210.539684,4511586.995389,57
416893.277281,4513491.338557,98
418005.919635,4513182.877930,77
416183.578515,4511898.777090,78
417545.223173,4512660.643239,63
418253.237279,4512859.416760,11
417600.527514,4511518.979438,63
417874.135900,4512928.373259,35
417063.324683,4512135.589371,51
417482.751197,4512525.646608,20
418542.873597,4512970.329986,22
417531.704750,4512710.136441,52
418542.674471,4512739.039078,129
416741.760007,4513570.139008,9
418355.921360,4512602.319555,31
417052.901748,4513508.052217,98
417327.761799,4512505.787528,10
416083.067803,4511721.047048,194
416847.949282,4512168.843120,183
416936.698368,4512972.751555,36
416599.524534,4511974.264745,60
416239.385983,4511441.724674,31
416569.370265,4512628.396735,121
416903.481040,4510428.890209,10
416818.200199,4511607.903348,22
417652.385733,4513229.975802,188
416776.623154,4512499.624052,71
416358.365155,4511801.199868,29
417281.491066,4512352.108164,103
417149.427425,4512285.737919,124
417772.567280,4512861.654144,31
416870.177077,4512686.692862,181
417265.658700,4512824.124817,78
416114.849494,4511628.169268,152
417468.778121,4512744.760506,35
416737.720455,4511750.667764,50
417765.328145,4512843.231026,203
416502.990184,4512564.382276,195
416309.320184,4512026.880469,99
417835.323198,4512811.614981,31
417362.720429,4512696.600413,64
416402.182452,4512358.896146,105
416416.955256,4512836.738545,23
416464.899031,4512305.761801,174
416740.677664,4511596.438447,15
417504.574506,4512590.165779,66
416919.725525,4512713.892207,71
416787.526072,4513261.231547,130
417169.530247,4512196.079420,325
417923.624183,4513162.202204,22
417474.180917,4513019.169148,42
416279.394890,4512076.561471,586
416674.804362,4513037.372244,58
417153.085479,4513032.006131,73
417747.925919,4513176.487348,20
418429.758869,4512919.148582,24
417655.935062,4512705.670259,78
417317.308317,4512829.715843,42
417009.403453,4512555.606677,89
417252.596477,4512284.584679,163
416318.560203,4512014.440373,200
416606.910164,4511588.691145,48
416517.749429,4511793.234258,98
416007.788005,4511493.689354,3
416684.024297,4510520.787519,110
416476.736064,4511275.597330,10
415769.080939,4511126.327610,27
415021.374931,4511168.788037,12
417602.466064,4513168.852709,5
