Easting,Northing,week
416066.094313,4511671.896460,174
416549.486218,4513152.888808,69
416473.524721,4511614.865108,184
416970.489883,4513058.722538,106
416856.818931,4511496.448749,98
416405.416305,4511606.381498,95
416749.866219,4510535.467219,97
416065.116173,4511585.557534,140
416957.981555,4512152.189173,298
415899.637719,4511263.621470,228
416149.221301,4511556.849838,102
417126.291754,4512523.458651,126
417685.482249,4513254.279177,20
416555.357385,4511176.026017,282
416712.307633,4511784.876563,95
417181.874413,4512461.158523,114
416672.826745,4512861.610560,203
416917.047937,4512057.046595,82
417384.059348,4511666.334025,232
416822.993717,4513078.881305,183
418057.444323,4512753.643584,113
416715.197679,4512250.516540,70
416995.389964,4511932.811532,310
416210.539684,4511586.995389,209
416893.277281,4513491.338557,150
416183.578515,4511898.777090,206
417545.223173,4512660.643239,118
418253.237279,4512859.416760,173
417600.527514,4511518.979438,69
417874.135900,4512928.373259,144
417993.867009,4512729.675982,200
417063.324683,4512135.589371,155
417482.751197,4512525.646608,205
418542.873597,4512970.329986,82
417531.704750,4512710.136441,51
418542.674471,4512739.039078,149
416741.760007,4513570.139008,269
418355.921360,4512602.319555,368
417052.901748,4513508.052217,74
417327.761799,4512505.787528,101
416083.067803,4511721.047048,226
418451.676411,4512780.131302,110
416847.949282,4512168.843120,93
416936.698368,4512972.751555,103
416599.524534,4511974.264745,184
416239.385983,4511441.724674,144
416569.370265,4512628.396735,297
416903.481040,4510428.890209,282
416818.200199,4511607.903348,5
417652.385733,4513229.975802,95
416776.623154,4512499.624052,42
416358.365155,4511801.199868,142
417281.491066,4512352.108164,298
417149.427425,4512285.737919,165
417772.567280,4512861.654144,20
416870.177077,4512686.692862,57
417265.658700,4512824.124817,113
416114.849494,4511628.169268,139
417468.778121,4512744.760506,86
416737.720455,4511750.667764,149
417765.328145,4512843.231026,427
416502.990184,4512564.382276,258
416309.320184,4512026.880469,401
417835.323198,4512811.614981,49
417362.720429,4512696.600413,182
416402.182452,4512358.896146,313
416416.955256,4512836.738545,103
416464.899031,4512305.761801,198
416740.677664,4511596.438447,30
417504.574506,4512590.165779,239
416919.725525,4512713.892207,130
416787.526072,4513261.231547,348
417169.530247,4512196.079420,211
417923.624183,4513162.202204,87
417474.180917,4513019.169148,83
416279.394890,4512076.561471,726
416674.804362,4513037.372244,176
417153.085479,4513032.006131,165
417747.925919,4513176.487348,104
417991.909457,4512976.410768,46
418429.758869,4512919.148582,83
417655.935062,4512705.670259,41
417317.308317,4512829.715843,123
416504.156668,4512875.845996,140
417009.403453,4512555.606677,115
417252.596477,4512284.584679,248
416318.560203,4512014.440373,424
416606.910164,4511588.691145,168
416517.749429,4511793.234258,133
416007.788005,4511493.689354,29
416476.736064,4511275.597330,60
415769.080939,4511126.327610,13
415021.374931,4511168.788037,41
415056.611689,4510764.388300,2
417602.466064,4513168.852709,138
415094.815489,4511232.708849,190
415010.131190,4510801.928446,109
