Easting,Northing,week
416066.094313,4511671.896460,106
416473.524721,4511614.865108,51
416970.489883,4513058.722538,60
416856.818931,4511496.448749,130
416405.416305,4511606.381498,174
416749.866219,4510535.467219,70
416065.116173,4511585.557534,131
416957.981555,4512152.189173,57
415899.637719,4511263.621470,36
416149.221301,4511556.849838,185
417126.291754,4512523.458651,199
417685.482249,4513254.279177,2
416555.357385,4511176.026017,120
416712.307633,4511784.876563,147
417181.874413,4512461.158523,92
416672.826745,4512861.610560,261
416917.047937,4512057.046595,59
417384.059348,4511666.334025,71
416822.993717,4513078.881305,137
416715.197679,4512250.516540,247
416995.389964,4511932.811532,464
416210.539684,4511586.995389,129
416893.277281,4513491.338557,59
416183.578515,4511898.777090,36
417545.223173,4512660.643239,56
418253.237279,4512859.416760,54
417600.527514,4511518.979438,111
417874.135900,4512928.373259,192
417993.867009,4512729.675982,57
417063.324683,4512135.589371,125
417482.751197,4512525.646608,71
418542.873597,4512970.329986,36
417531.704750,4512710.136441,44
418542.674471,4512739.039078,83
416741.760007,4513570.139008,102
418355.921360,4512602.319555,211
417052.901748,4513508.052217,108
417327.761799,4512505.787528,83
416083.067803,4511721.047048,391
418451.676411,4512780.131302,114
416847.949282,4512168.843120,56
416936.698368,4512972.751555,40
416599.524534,4511974.264745,68
416239.385983,4511441.724674,154
416569.370265,4512628.396735,43
416903.481040,4510428.890209,406
417652.385733,4513229.975802,114
416776.623154,4512499.624052,35
416358.365155,4511801.199868,65
417281.491066,4512352.108164,349
417149.427425,4512285.737919,213
417772.567280,4512861.654144,9
416870.177077,4512686.692862,65
417265.658700,4512824.124817,97
416114.849494,4511628.169268,177
417468.778121,4512744.760506,311
416737.720455,4511750.667764,325
417765.328145,4512843.231026,354
416502.990184,4512564.382276,71
416309.320184,4512026.880469,232
417835.323198,4512811.614981,4
416402.182452,4512358.896146,42
416416.955256,4512836.738545,18
416464.899031,4512305.761801,124
416740.677664,4511596.438447,68
416919.725525,4512713.892207,85
416787.526072,4513261.231547,14
417169.530247,4512196.079420,75
417923.624183,4513162.202204,32
417474.180917,4513019.169148,77
416279.394890,4512076.561471,338
416674.804362,4513037.372244,77
417153.085479,4513032.006131,121
417747.925919,4513176.487348,38
417991.909457,4512976.410768,71
418429.758869,4512919.148582,51
417655.935062,4512705.670259,58
417317.308317,4512829.715843,148
416504.156668,4512875.845996,5
417009.403453,4512555.606677,113
417252.596477,4512284.584679,80
416318.560203,4512014.440373,119
416606.910164,4511588.691145,79
416517.749429,4511793.234258,73
416684.024297,4510520.787519,12
415021.374931,4511168.788037,42
415056.611689,4510764.388300,16
415094.815489,4511232.708849,8
415010.131190,4510801.928446,95
